page,token,pos,counts,cumulative_sum
222,could,MD,2,27
112,case,NN,2,5
166,great,JJ,2,33
49,know,VBP,2,5
112,method,NN,2,2
167,far,RB,2,8
88,one,CD,2,119
185,splendid,JJ,2,2
221,one,CD,2,121
221,made,VBD,2,7
196,engraved,VBN,2,2
222,said,VBD,2,41
167,board,NN,2,6
89,professional,JJ,2,2
167,moment,NN,2,2
167,still,RB,2,8
196,like,IN,2,7
197,thought,VBD,2,5
222,name,NN,2,12
222,would,MD,2,85
112,done,VBN,2,12
112,powerful,JJ,2,2
78,summer,NN,2,2
222,scheme,NN,2,2
186,people,NNS,2,18
48,gibbon,NNP,2,8
78,read,VB,2,2
166,perhaps,RB,2,5
166,steamer,NN,2,7
112,unpopular,JJ,2,2
112,often,RB,2,2
112,nothing,NN,2,2
222,buy,VB,2,2
222,men,NNS,2,37
88,might,MD,2,12
49,history,NN,2,5
223,thing,NN,2,27
163,day,NN,2,13
226,general,JJ,2,5
82,nothing,NN,2,4
192,lover,NN,2,2
85,class,NN,2,7
122,wrote,VBD,2,11
159,pilot,NN,2,2
82,true,JJ,2,11
159,admiralty,NNP,2,2
192,tack,NN,2,2
122,man,NN,2,71
233,sight,NN,2,5
233,lake,NN,2,2
192,grommet,NN,2,2
160,land,NN,2,7
160,desert,NN,2,2
160,yet,RB,2,2
122,animalculae,NN,2,2
35,ever,RB,2,4
37,men,NNS,2,39
191,hitch,NNP,2,2
233,great,JJ,2,35
191,knot,NN,2,2
191,verse,NN,2,32
189,man,NN,2,73
82,one,CD,2,123
233,thousand,CD,2,6
82,really,RB,2,2
122,daily,JJ,2,2
122,letter,NN,2,4
233,still,RB,2,10
191,without,IN,2,11
189,would,MD,2,87
122,upon,IN,2,41
122,opposing,VBG,2,2
160,rain,NN,2,5
232,little,JJ,2,41
159,world,NN,2,10
160,sad,JJ,2,2
86,poetic,JJ,2,2
232,slow,JJ,2,5
82,sweet,JJ,2,2
38,perish,VB,2,2
232,rate,NN,2,2
192,gasket,NN,2,2
38,institution,NN,2,2
232,came,VBD,2,6
38,persuaded,VBN,2,2
121,term,NN,2,2
231,see,VB,2,8
86,head,NN,2,4
188,knot,NN,2,4
160,day,NN,2,15
121,poor,JJ,2,2
232,saw,VBD,2,5
160,wet,JJ,2,5
188,record,NN,2,2
82,know,VB,2,7
37,centaur,NNP,2,2
121,opponent,NN,2,2
82,couplet,NN,2,2
232,also,RB,2,20
232,melting,NN,2,2
160,even,RB,2,25
37,see,VB,2,10
82,upon,IN,2,43
192,came,VBD,2,8
232,man,NN,2,75
232,men,NNS,2,41
188,useful,JJ,2,2
37,state,NN,2,5
122,person,NN,2,2
85,duke,NNP,2,2
121,would,MD,2,89
190,remember,VB,2,2
34,would,MD,2,91
191,clove,NNP,2,2
235,men,NNS,2,43
123,day,NN,2,17
158,church,NNP,2,5
34,boat,NN,2,6
158,voice,NN,2,2
235,story,NN,2,9
158,well,RB,2,11
34,buy,VB,2,4
158,man,NN,2,77
34,woman,NN,2,2
190,would,MD,2,93
191,take,VB,2,12
190,sea,NN,2,49
34,said,VBN,2,43
123,often,RB,2,4
190,thing,NN,2,29
33,make,VB,2,11
